iter	Passed	Remaining
0	6	5544
1	13	5337
2	19	5220
3	25	5148
4	32	5195
5	39	5239
6	46	5257
7	53	5292
8	60	5342
9	67	5300
10	73	5247
11	79	5221
12	85	5193
13	91	5161
14	98	5131
15	104	5133
16	111	5119
17	117	5109
18	123	5091
19	130	5093
20	137	5095
21	143	5075
22	149	5059
23	155	5036
24	161	5021
25	168	5003
26	174	5006
27	181	4997
28	187	4987
29	193	4973
30	199	4959
31	206	4951
32	213	4951
33	219	4946
34	226	4944
35	232	4937
36	239	4936
37	245	4931
38	252	4927
39	260	4945
40	266	4939
41	273	4930
42	280	4933
43	286	4927
44	293	4916
45	299	4907
46	305	4901
47	312	4898
48	319	4893
49	325	4885
50	332	4881
51	339	4880
52	346	4878
53	352	4875
54	359	4869
55	366	4865
56	372	4859
57	379	4850
58	385	4845
59	392	4842
60	398	4830
61	405	4823
62	411	4816
63	418	4812
64	424	4803
65	431	4797
66	437	4790
67	444	4784
68	451	4778
69	457	4771
70	465	4777
71	472	4775
72	479	4775
73	485	4767
74	492	4758
75	498	4752
76	505	4746
77	512	4739
78	518	4733
79	525	4728
80	531	4720
81	538	4714
82	545	4708
83	551	4700
84	557	4693
85	564	4689
86	571	4682
87	577	4674
88	584	4667
89	590	4660
90	597	4651
91	603	4642
92	609	4636
93	616	4631
94	623	4623
95	629	4617
96	635	4609
97	642	4599
98	648	4592
99	654	4584
100	661	4574
101	669	4579
102	676	4575
103	683	4571
104	689	4564
105	696	4556
106	702	4549
107	708	4540
108	715	4535
109	721	4526
110	728	4520
111	734	4511
112	740	4504
113	747	4495
114	753	4489
115	760	4482
116	766	4474
117	772	4465
118	779	4458
119	785	4449
120	792	4444
121	798	4437
122	804	4428
123	811	4422
124	817	4416
125	824	4410
126	831	4404
127	837	4396
128	843	4389
129	850	4382
130	856	4375
131	862	4366
132	869	4361
133	876	4355
134	883	4352
135	890	4346
136	896	4339
137	902	4331
138	909	4323
139	915	4315
140	922	4309
141	928	4302
142	935	4296
143	941	4291
144	948	4284
145	955	4279
146	961	4271
147	968	4265
148	974	4259
149	981	4252
150	987	4246
151	994	4240
152	1001	4233
153	1007	4227
154	1013	4219
155	1020	4213
156	1027	4207
157	1033	4200
158	1040	4194
159	1047	4188
160	1053	4181
161	1060	4175
162	1066	4169
163	1076	4173
164	1082	4166
165	1089	4159
166	1095	4153
167	1102	4147
168	1109	4141
169	1115	4133
170	1121	4126
171	1128	4120
172	1134	4113
173	1141	4107
174	1147	4099
175	1154	4093
176	1161	4086
177	1167	4079
178	1174	4072
179	1180	4065
180	1186	4057
181	1192	4050
182	1198	4042
183	1205	4036
184	1212	4030
185	1219	4025
186	1226	4021
187	1233	4015
188	1240	4010
189	1247	4004
190	1253	3998
191	1260	3991
192	1267	3985
193	1276	3987
194	1283	3982
195	1290	3975
196	1296	3969
197	1303	3963
198	1310	3957
199	1317	3951
200	1323	3944
201	1330	3937
202	1337	3932
203	1344	3927
204	1351	3921
205	1358	3915
206	1364	3909
207	1371	3903
208	1378	3898
209	1385	3892
210	1392	3887
211	1399	3880
212	1406	3875
213	1412	3868
214	1419	3862
215	1426	3855
216	1432	3849
217	1439	3843
218	1446	3838
219	1453	3832
220	1460	3827
221	1467	3821
222	1474	3816
223	1482	3811
224	1488	3805
225	1495	3798
226	1502	3792
227	1509	3786
228	1516	3780
229	1523	3775
230	1530	3770
231	1537	3764
232	1545	3759
233	1551	3753
234	1558	3747
235	1565	3741
236	1572	3735
237	1579	3728
238	1585	3721
239	1592	3715
240	1599	3709
241	1606	3703
242	1612	3696
243	1619	3689
244	1625	3683
245	1632	3676
246	1638	3669
247	1645	3661
248	1651	3655
249	1657	3647
250	1664	3641
251	1671	3634
252	1680	3633
253	1687	3627
254	1694	3620
255	1700	3613
256	1707	3607
257	1713	3600
258	1720	3593
259	1727	3587
260	1733	3580
261	1740	3574
262	1747	3567
263	1754	3561
264	1761	3555
265	1767	3549
266	1774	3542
267	1781	3536
268	1788	3530
269	1795	3524
270	1802	3517
271	1808	3511
272	1815	3504
273	1822	3498
274	1829	3491
275	1835	3484
276	1842	3478
277	1849	3472
278	1855	3465
279	1862	3459
280	1869	3452
281	1875	3445
282	1884	3442
283	1891	3435
284	1897	3429
285	1904	3422
286	1911	3416
287	1918	3410
288	1925	3404
289	1931	3397
290	1939	3391
291	1945	3385
292	1952	3378
293	1959	3372
294	1965	3365
295	1972	3358
296	1978	3351
297	1985	3345
298	1992	3338
299	1999	3332
300	2006	3326
301	2013	3319
302	2020	3313
303	2027	3307
304	2033	3300
305	2040	3294
306	2047	3288
307	2054	3282
308	2061	3275
309	2068	3269
310	2075	3263
311	2084	3260
312	2092	3255
313	2098	3247
314	2105	3241
315	2112	3234
316	2118	3228
317	2125	3221
318	2132	3215
319	2139	3209
320	2146	3202
321	2153	3196
322	2159	3189
323	2166	3182
324	2172	3175
325	2179	3169
326	2186	3162
327	2193	3156
328	2200	3149
329	2206	3143
330	2213	3136
331	2220	3129
332	2226	3122
333	2233	3115
334	2239	3108
335	2245	3101
336	2252	3094
337	2258	3087
338	2265	3080
339	2271	3073
340	2278	3067
341	2285	3061
342	2293	3055
343	2300	3048
344	2307	3042
345	2313	3036
346	2320	3029
347	2327	3022
348	2334	3016
349	2341	3009
350	2348	3003
351	2354	2997
352	2361	2990
353	2368	2984
354	2375	2977
355	2382	2971
356	2389	2965
357	2396	2959
358	2403	2952
359	2410	2946
360	2417	2939
361	2424	2933
362	2431	2926
363	2437	2919
364	2444	2913
365	2451	2906
366	2458	2900
367	2464	2893
368	2471	2887
369	2478	2880
370	2485	2874
371	2492	2868
372	2500	2861
373	2506	2855
374	2514	2849
375	2521	2843
376	2528	2836
377	2535	2830
378	2542	2824
379	2549	2817
380	2556	2811
381	2563	2804
382	2569	2797
383	2576	2790
384	2583	2784
385	2589	2777
386	2596	2770
387	2603	2764
388	2610	2757
389	2617	2751
390	2624	2745
391	2631	2738
392	2638	2732
393	2645	2725
394	2652	2719
395	2658	2712
396	2665	2705
397	2672	2699
398	2679	2692
399	2687	2687
400	2694	2680
401	2701	2674
402	2707	2667
403	2714	2660
404	2721	2653
405	2727	2646
406	2734	2640
407	2740	2633
408	2747	2626
409	2753	2619
410	2760	2613
411	2767	2606
412	2774	2599
413	2781	2593
414	2788	2586
415	2795	2580
416	2802	2574
417	2809	2567
418	2816	2561
419	2823	2554
420	2830	2548
421	2837	2541
422	2843	2534
423	2850	2527
424	2857	2521
425	2864	2514
426	2872	2509
427	2880	2503
428	2887	2497
429	2895	2491
430	2902	2485
431	2910	2479
432	2918	2473
433	2925	2467
434	2933	2461
435	2941	2456
436	2949	2450
437	2958	2444
438	2966	2439
439	2974	2433
440	2981	2427
441	2989	2421
442	2997	2415
443	3005	2409
444	3014	2404
445	3022	2398
446	3029	2392
447	3037	2386
448	3046	2381
449	3054	2375
450	3062	2369
451	3070	2364
452	3078	2358
453	3087	2353
454	3096	2347
455	3104	2342
456	3113	2336
457	3120	2330
458	3128	2324
459	3136	2318
460	3144	2312
461	3152	2306
462	3160	2300
463	3167	2293
464	3175	2287
465	3183	2281
466	3191	2275
467	3199	2269
468	3207	2263
469	3215	2257
470	3223	2251
471	3231	2245
472	3239	2239
473	3246	2232
474	3254	2226
475	3262	2220
476	3269	2214
477	3278	2208
478	3286	2202
479	3294	2196
480	3302	2190
481	3310	2183
482	3318	2177
483	3326	2171
484	3333	2165
485	3342	2159
486	3349	2152
487	3357	2146
488	3365	2140
489	3372	2133
490	3380	2127
491	3388	2121
492	3396	2114
493	3404	2108
494	3411	2102
495	3419	2096
496	3428	2089
497	3435	2083
498	3443	2077
499	3451	2070
500	3459	2064
501	3467	2058
502	3475	2051
503	3483	2045
504	3493	2040
505	3500	2034
506	3508	2027
507	3517	2021
508	3525	2015
509	3533	2009
510	3541	2002
511	3549	1996
512	3557	1990
513	3564	1983
514	3572	1976
515	3579	1970
516	3586	1963
517	3593	1956
518	3600	1949
519	3607	1942
520	3614	1935
521	3622	1928
522	3629	1922
523	3638	1916
524	3646	1909
525	3653	1903
526	3661	1896
527	3670	1890
528	3678	1884
529	3685	1877
530	3694	1871
531	3702	1865
532	3710	1858
533	3718	1852
534	3726	1845
535	3734	1839
536	3742	1832
537	3749	1825
538	3757	1819
539	3765	1813
540	3773	1806
541	3781	1800
542	3789	1793
543	3797	1787
544	3806	1780
545	3813	1774
546	3821	1767
547	3829	1761
548	3838	1754
549	3846	1748
550	3854	1741
551	3862	1735
552	3870	1728
553	3878	1722
554	3886	1715
555	3895	1709
556	3903	1702
557	3911	1696
558	3919	1689
559	3928	1683
560	3936	1676
561	3943	1670
562	3951	1663
563	3959	1656
564	3967	1650
565	3976	1643
566	3984	1637
567	3992	1630
568	4000	1624
569	4007	1617
570	4015	1610
571	4024	1604
572	4032	1597
573	4040	1590
574	4048	1584
575	4056	1577
576	4064	1570
577	4072	1564
578	4080	1557
579	4088	1550
580	4098	1544
581	4106	1538
582	4114	1531
583	4122	1524
584	4130	1518
585	4138	1511
586	4146	1504
587	4153	1497
588	4161	1490
589	4169	1484
590	4177	1477
591	4185	1470
592	4193	1463
593	4201	1457
594	4209	1450
595	4217	1443
596	4225	1436
597	4232	1429
598	4240	1422
599	4248	1416
600	4256	1409
601	4264	1402
602	4272	1395
603	4280	1388
604	4287	1382
605	4295	1375
606	4304	1368
607	4312	1361
